sample_path,group,total_params,changed_params,change_ops,feature_combo,matched_feature_combo,correct_trials,total_trials,accuracy
sklearn/sklearn.feature_selection.RFECV@0.17.1-0.18/sklearn.feature_selection.RFECV#1YY/RFECV_estimator_@0.17.1-0.18_L6_tempLst1.json,semantic,6,2,3,"(6,2,3)",yes,15,25,0.6000000000
sklearn/sklearn.linear_model.BayesianRidge@0.21.3-0.22/sklearn.linear_model.BayesianRidge#1YY/linear_model.BayesianRidge__@0.21.3-0.22_L2_tempLst1.json,nonsemantic,11,5,7,"(11,5,7)",no,16,25,0.6400000000
sklearn/sklearn.linear_model.PassiveAggressiveClassifier@0.18.1-0.19.0/sklearn.linear_model.PassiveAggressiveClassifier#1YY/PassiveAggressiveClassifier__@0.18.1-0.19.0_L2_tempLst1.json,nonsemantic,11,9,11,"(11,9,11)",no,15,25,0.6000000000
sklearn/sklearn.svm.NuSVC@0.21.3-0.22/sklearn.svm.NuSVC#1YY/NuSVC__@0.21.3-0.22_L5_tempLst1.json,nonsemantic,14,1,2,"(14,1,2)",no,15,25,0.6000000000
sklearn/sklearn.svm.SVC@0.21.3-0.22/sklearn.svm.SVC#1YY/SVC__@0.21.3-0.22_L5_tempLst1.json,nonsemantic,14,1,2,"(14,1,2)",no,15,25,0.6000000000
spacy/spacy.load@3.0.5-3.0.6/spacy.load#1YY/spacy.load_model_name_@3.0.5-3.0.6_L7_tempLst1.json,nonsemantic,5,4,4,"(5,4,4)",no,24,25,0.9600000000
sympy/sympy.GramSchmidt@0.7.6.1-1.0/sympy.GramSchmidt#1YY/sp.GramSchmidt_independent_vectors_@0.7.6.1-1.0_L6_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,24,25,0.9600000000
sympy/sympy.crypto.crypto.rsa_private_key@1.4-1.5/sympy.crypto.crypto.rsa_private_key#1YY/rsa_private_key_p__q__e_@1.4-1.5_L6_tempLst1.json,semantic,3,3,3,"(3,3,3)",no,22,25,0.8800000000
sympy/sympy.crypto.crypto.rsa_public_key@1.4-1.5/sympy.crypto.crypto.rsa_public_key#1YY/rsa_public_key_p__q__e_@1.4-1.5_L6_tempLst1.json,semantic,3,3,3,"(3,3,3)",no,22,25,0.8800000000
sympy/sympy.geometry.Line3D.equation@1.11.1-1.12/sympy.geometry.Line3D.equation#1YY/line.equation__@1.11.1-1.12_L5_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
sympy/sympy.itermonomials@1.2-1.3/sympy.itermonomials#1NY/itermonomials__x__y___2_@1.2-1.3_L3_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,23,25,0.9200000000
sympy/sympy.physics.mechanics.PinJoint@1.11.1-1.12/sympy.physics.mechanics.PinJoint#1YY/PinJoint__PC___parent__child_@1.11.1-1.12_L4_tempLst1.json,nonsemantic,12,5,7,"(12,5,7)",no,15,25,0.6000000000
sympy/sympy.physics.mechanics.PrismaticJoint@1.11.1-1.12/sympy.physics.mechanics.PrismaticJoint#1YY/PrismaticJoint__PC___parent__child_@1.11.1-1.12_L4_tempLst1.json,nonsemantic,12,5,7,"(12,5,7)",no,15,25,0.6000000000
sympy/sympy.physics.units.quantities.Quantity@1.1.1-1.2/sympy.physics.units.quantities.Quantity#1NY/Quantity__meter___length_@1.1.1-1.2_L3_tempLst1.json,nonsemantic,4,3,3,"(4,3,3)",no,25,25,1.0000000000
sympy/sympy.physics.units.quantities.Quantity@1.11.1-1.12/sympy.physics.units.quantities.Quantity#1YY/Quantity__velocity__@1.11.1-1.12_L2_tempLst1.json,semantic,9,7,7,"(9,7,7)",no,23,25,0.9200000000
tensorflow/tf.contrib.data.make_csv_dataset@1.10.1-1.11.0/tf.contrib.data.make_csv_dataset#1NN/tf.contrib.data.make_csv_dataset__._dev.csv___1__None__None__None__None_______True______True__None__True__10000__None__1__1__2__False__1_@1.10.1-1.11.0_L2_tempLst1.json,semantic,19,3,4,"(19,3,4)",no,15,25,0.6000000000
tensorflow/tf.contrib.data.make_csv_dataset@1.8.0-1.9.0/tf.contrib.data.make_csv_dataset#1NN/tf.contrib.data.make_csv_dataset__._dev.csv___1__None__None__None_______True______True__None__None__True__1__None__1__1__2__False__tf.float32__1_@1.8.0-1.9.0_L2_tempLst1.json,semantic,20,7,8,"(20,7,8)",no,16,25,0.6400000000
tensorflow/tf.data.Dataset.random@2.11.1-2.12.0/tf.data.Dataset.random#1YY/tf.data.Dataset.random__@2.11.1-2.12.0_L2_tempLst1.json,nonsemantic,2,1,2,"(2,1,2)",no,17,25,0.6800000000
tensorflow/tf.data.experimental.service.DispatchServer@2.3.4-2.4.0/tf.data.experimental.service.DispatchServer#1NY/tf.data.experimental.service.DispatchServer_0_@2.3.4-2.4.0_L2_tempLst1.json,semantic,3,3,4,"(3,3,4)",no,22,25,0.8800000000
tensorflow/tf.keras.losses.SparseCategoricalCrossentropy@2.9.3-2.10.0/tf.keras.losses.SparseCategoricalCrossentropy#1YY/tf.keras.losses.SparseCategoricalCrossentropy__@2.9.3-2.10.0_L2_tempLst1.json,nonsemantic,3,2,3,"(3,2,3)",no,15,25,0.6000000000
tensorflow/tf.string_split@1.13.2-1.14.0/tf.string_split#1YY/tf.string_split_string_tensor_@1.13.2-1.14.0_L4_tempLst1.json,nonsemantic,3,1,2,"(3,1,2)",no,16,25,0.6400000000
torch/torch.btrifact@1.0.1-1.1.0/torch.btrifact#1YY/torch.btrifact_A_@1.0.1-1.1.0_L3_tempLst1.json,semantic,3,2,3,"(3,2,3)",no,13,25,0.5200000000
tornado/tornado.autoreload.start@4.5.3-5.0/tornado.autoreload.start#1YY/tornado.autoreload.start__@4.5.3-5.0_L3_tempLst1.json,semantic,2,2,2,"(2,2,2)",no,22,25,0.8800000000
tornado/tornado.gen.YieldFuture@4.5.3-5.0/tornado.gen.YieldFuture#1YY/tornado.gen.YieldFuture_future_@4.5.3-5.0_L5_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
tornado/tornado.httpclient.AsyncHTTPClient.fetch@5.1.1-6.0/tornado.httpclient.AsyncHTTPClient.fetch#1YY/http_client.fetch__http___example.com__@5.1.1-6.0_L6_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,15,25,0.6000000000
tornado/tornado.httpclient.AsyncHTTPClient@2.4.1-3.0/tornado.httpclient.AsyncHTTPClient#1YY/tornado.httpclient.AsyncHTTPClient__@2.4.1-3.0_L2_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,24,25,0.9600000000
tornado/tornado.httpclient.HTTPRequest@3.0.2-3.1/tornado.httpclient.HTTPRequest#1YY/tornado.httpclient.HTTPRequest__http___httpbin.org_get__@3.0.2-3.1_L2_tempLst1.json,nonsemantic,27,21,22,"(27,21,22)",no,15,25,0.6000000000
tornado/tornado.ioloop.PeriodicCallback@4.5.3-5.0/tornado.ioloop.PeriodicCallback#1YY/tornado.ioloop.PeriodicCallback_my_callback__1000_@4.5.3-5.0_L5_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
tornado/tornado.iostream.BaseIOStream.read_bytes@5.1.1-6.0/tornado.iostream.BaseIOStream.read_bytes#1YY/stream.read_bytes_10_@5.1.1-6.0_L11_tempLst1.json,semantic,4,3,3,"(4,3,3)",no,15,25,0.6000000000
tornado/tornado.netutil.add_accept_handler@4.5.3-5.0/tornado.netutil.add_accept_handler#1YY/tornado.netutil.add_accept_handler_sock__accept_handler_@4.5.3-5.0_L9_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
tornado/tornado.platform.twisted.TornadoReactor@4.5.3-5.0/tornado.platform.twisted.TornadoReactor#1YY/tornado.platform.twisted.TornadoReactor__@4.5.3-5.0_L3_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,25,25,1.0000000000
tornado/tornado.platform.twisted.install@4.5.3-5.0/tornado.platform.twisted.install#1YY/tornado.platform.twisted.install__@4.5.3-5.0_L2_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,25,25,1.0000000000
tornado/tornado.tcpclient.TCPClient@4.5.3-5.0/tornado.tcpclient.TCPClient#1YY/tornado.tcpclient.TCPClient__@4.5.3-5.0_L7_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
tornado/tornado.tcpserver.TCPServer@4.5.3-5.0/tornado.tcpserver.TCPServer#1YY/tornado.tcpserver.TCPServer__@4.5.3-5.0_L3_tempLst1.json,semantic,4,4,4,"(4,4,4)",no,22,25,0.8800000000
transformers/transformers.modeling_albert.AlbertForPreTraining.forward@2.11.0-3.0.0/transformers.modeling_albert.AlbertForPreTraining.forward#1YY/model.forward_input_ids_@2.11.0-3.0.0_L11_tempLst1.json,semantic,10,3,3,"(10,3,3)",no,19,25,0.7600000000
xgboost/predict@1.3.3-1.4.0/predict#1YY/model.predict_X_test_@1.3.3-1.4.0_L8_tempLst1.json,semantic,6,2,2,"(6,2,2)",yes,23,25,0.9200000000
